idx,AirQualityStation,img_path,s5p_path,Countrycode,Altitude,PopulationDensity,rural,suburban,urban,traffic,industrial,background,no2,o3,pm10
71,STA.IT2287A,STA.IT2287A/S2A_MSIL2A_20200810T095041_N0214_R079_T33SUC_20200810T114918.npy,STA.IT2287A/l3_mean_europe_2018_2020_005dg.netcdf,IT,10,252.1,0,0,1,0,0,1,24.66332542,61.20622808,21.94851192
75,STA_ES1093A,STA_ES1093A/S2B_MSIL2A_20200711T103629_N0214_R008_T31TEE_20200711T140018.npy,STA_ES1093A/l3_mean_europe_2018_2020_005dg.netcdf,ES,6,252,1,0,0,0,0,1,5.727884838,51.53552882,20.6940875
79,STA_PL0182A,STA_PL0182A/S2A_MSIL2A_20200408T101021_N0214_R022_T33UVU_20200408T161405.npy,STA_PL0182A/l3_mean_europe_2018_2020_005dg.netcdf,PL,2,69.2,1,0,0,0,0,1,7.502474076,58.3641347,26.94591666
82,STA.DE_DETH036,STA.DE_DETH036/S2B_MSIL2A_20200801T100559_N0214_R022_T33UUS_20200801T135302.npy,STA.DE_DETH036/l3_mean_europe_2018_2020_005dg.netcdf,DE,265,117.2,0,0,1,0,0,1,17.85669843,52.03446582,17.80972541
83,STA.IT1152A,STA.IT1152A/S2A_MSIL2A_20200408T101021_N0214_R022_T32TPQ_20200408T161405.npy,STA.IT1152A/l3_mean_europe_2018_2020_005dg.netcdf,IT,25,262.7,0,1,0,0,0,1,28.55303826,57.2837195,30.20560748
85,STA.IT1921A,STA.IT1921A/S2A_MSIL2A_20200408T101021_N0214_R022_T32TPQ_20200408T161405.npy,STA.IT1921A/l3_mean_europe_2018_2020_005dg.netcdf,IT,4,262.7,1,0,0,0,0,1,23.53302462,59.60615037,28.1192053
86,STA-RO0181A,STA-RO0181A/S2B_MSIL2A_20200710T093039_N0214_R136_T34TFT_20200710T120649.npy,STA-RO0181A/l3_mean_europe_2018_2020_005dg.netcdf,RO,275,55.2,0,0,1,0,1,0,14.72810561,54.99727391,21.92993808
88,STA.DE_DEHE042,STA.DE_DEHE042/S2A_MSIL2A_20200921T103031_N0214_R108_T32UMB_20200921T151006.npy,STA.DE_DEHE042/l3_mean_europe_2018_2020_005dg.netcdf,DE,172,314.1,1,0,0,0,0,1,16.35792423,51.14620349,14.54200986
89,STA-SI0038A,STA-SI0038A/S2B_MSIL2A_20200410T100029_N0214_R122_T33TUL_20200410T134801.npy,STA-SI0038A/l3_mean_europe_2018_2020_005dg.netcdf,SI,56,109.8,0,0,1,0,0,1,18.3988955,69.5932929,18.37746479
91,STA-RO0107A,STA-RO0107A/S2B_MSIL2A_20200918T093039_N0214_R136_T34TET_20200918T120935.npy,STA-RO0107A/l3_mean_europe_2018_2020_005dg.netcdf,RO,139,75,0,0,1,0,0,1,25.9775794,52.06740895,19.96440129
92,STA_ES0651A,STA_ES0651A/S2B_MSIL2A_20200813T104629_N0214_R051_T30SXG_20200813T140017.npy,STA_ES0651A/l3_mean_europe_2018_2020_005dg.netcdf,ES,60,131.1,0,1,0,0,1,0,20.51015406,70.31393021,19.1392681
93,STA_PL0048A,STA_PL0048A/S2A_MSIL2A_20200601T095041_N0214_R079_T34UCF_20200601T112207.npy,STA_PL0048A/l3_mean_europe_2018_2020_005dg.netcdf,PL,70,1857,0,0,1,0,0,1,10.86384468,55.01717923,19.01213279
94,STA-FR14022,STA-FR14022/S2B_MSIL2A_20200721T103629_N0214_R008_T31UEQ_20200721T142714.npy,STA-FR14022/l3_mean_europe_2018_2020_005dg.netcdf,FR,86,69.6,0,1,0,0,0,1,13.25079868,53.38048498,16.39096842
98,STA-SI0033A,STA-SI0033A/S2B_MSIL2A_20200914T095029_N0214_R079_T33TWM_20200914T121343.npy,STA-SI0033A/l3_mean_europe_2018_2020_005dg.netcdf,SI,188,86.3,1,0,0,0,0,1,12.62491271,55.51328125,25.86865672
100,STA-FR23123,STA-FR23123/S2B_MSIL2A_20200806T105619_N0214_R094_T30UXU_20200806T131026.npy,STA-FR23123/l3_mean_europe_2018_2020_005dg.netcdf,FR,51,58.8,0,0,1,0,0,1,12.82199427,54.55350766,14.67774408
101,STA_ES1563A,STA_ES1563A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1563A/l3_mean_europe_2018_2020_005dg.netcdf,ES,589,827.3,0,0,1,1,0,0,28.30869465,56.46038519,18.88680332
106,STA-FR30019,STA-FR30019/S2A_MSIL2A_20200623T103031_N0214_R108_T32ULU_20200623T142851.npy,STA-FR30019/l3_mean_europe_2018_2020_005dg.netcdf,FR,325,61.7,0,0,1,0,0,1,13.29782608,52.40777356,14.12906976
107,STA-BG0058A,STA-BG0058A/S2A_MSIL2A_20200513T092031_N0214_R093_T34TFM_20200513T121338.npy,STA-BG0058A/l3_mean_europe_2018_2020_005dg.netcdf,BG,414,47.6,0,0,1,0,0,1,19.88264548,47.6689387,39.29340176
108,STA.IT1340A,STA.IT1340A/S2B_MSIL2A_20200722T100559_N0214_R022_T32TPR_20200722T141538.npy,STA.IT1340A/l3_mean_europe_2018_2020_005dg.netcdf,IT,30,318,0,0,1,1,0,0,29.69503002,54.78630262,29.73487032
109,STA.IT0839A,STA.IT0839A/S2A_MSIL2A_20190914T102021_N0213_R065_T32TNR_20190914T140933.npy,STA.IT0839A/l3_mean_europe_2018_2020_005dg.netcdf,IT,79,205.7,0,1,0,0,0,1,25.82496376,48.88994349,33.35359112
110,STA.DE_DEHE045,STA.DE_DEHE045/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMA_20200807T132026.npy,STA.DE_DEHE045/l3_mean_europe_2018_2020_005dg.netcdf,DE,209,155,0,0,1,0,0,1,17.08049989,53.64703035,17.36433046
114,STA-RO0075A,STA-RO0075A/S2B_MSIL2A_20200829T093039_N0214_R136_T34TFS_20200829T115846.npy,STA-RO0075A/l3_mean_europe_2018_2020_005dg.netcdf,RO,350,106.4,0,1,0,0,0,1,38.56147381,22.84784478,27.62620879
116,STA-PT02018,STA-PT02018/S2A_MSIL2A_20200718T112121_N0214_R037_T29TNE_20200718T123331.npy,STA-PT02018/l3_mean_europe_2018_2020_005dg.netcdf,PT,32,221,0,1,0,0,0,1,10.92762596,51.95682065,21.84800363
117,STA.IT1423A,STA.IT1423A/S2A_MSIL2A_20200803T100031_N0214_R122_T33TVH_20200803T114800.npy,STA.IT1423A/l3_mean_europe_2018_2020_005dg.netcdf,IT,4,259.7,0,0,1,0,0,1,12.51997717,21.62248858,25.72054795
120,STA-LT00044,STA-LT00044/S2A_MSIL2A_20200807T094041_N0214_R036_T34UFF_20200807T110442.npy,STA-LT00044/l3_mean_europe_2018_2020_005dg.netcdf,LT,73,71.8,0,0,1,0,0,1,12.70740412,49.05642061,22.58247153
123,STA_ES0824A,STA_ES0824A/S2B_MSIL2A_20200623T112119_N0214_R037_T29TQJ_20200623T143258.npy,STA_ES0824A/l3_mean_europe_2018_2020_005dg.netcdf,ES,218,97,0,1,0,0,1,0,10.9453439,46.21489411,21.40835145
124,STA-FR07054,STA-FR07054/S2A_MSIL2A_20200318T104021_N0214_R008_T31TEK_20200318T113132.npy,STA-FR07054/l3_mean_europe_2018_2020_005dg.netcdf,FR,629,45.4,0,0,1,0,0,1,13.22594075,52.60761926,12.09683941
126,STA.IT0459A,STA.IT0459A/S2B_MSIL2A_20200729T100029_N0214_R122_T33TUJ_20200729T134154.npy,STA.IT0459A/l3_mean_europe_2018_2020_005dg.netcdf,IT,15,240.8,0,1,0,0,0,1,29.44777482,42.90567812,25.68135633
127,STA.IT1871A,STA.IT1871A/S2B_MSIL2A_20200821T100559_N0214_R022_T32TQR_20200821T130423.npy,STA.IT1871A/l3_mean_europe_2018_2020_005dg.netcdf,IT,12,445.9,0,1,0,0,1,0,23.16912488,56.00069648,31.98882682
128,STA-CH0046A,STA-CH0046A/S2A_MSIL2A_20190219T103051_N0211_R108_T31TGM_20190219T133225.npy,STA-CH0046A/l3_mean_europe_2018_2020_005dg.netcdf,CH,422,2046.8,0,1,0,0,0,1,18.68632239,53.71776505,16.69889233
131,STA-RO0071A,STA-RO0071A/S2B_MSIL2A_20200823T090559_N0214_R050_T35TMK_20200823T110634.npy,STA-RO0071A/l3_mean_europe_2018_2020_005dg.netcdf,RO,30,314.7,0,1,0,0,0,1,25.90245352,45.1017735,29.70774086
132,STA_ES1549A,STA_ES1549A/S2A_MSIL2A_20200719T105031_N0214_R051_T30SWF_20200719T134605.npy,STA_ES1549A/l3_mean_europe_2018_2020_005dg.netcdf,ES,97,80.3,0,0,1,0,0,1,16.94382022,63.66288361,29.97745051
136,STA-TR540141,STA-TR540141/S2B_MSIL2A_20200807T084559_N0214_R107_T36TTL_20200807T111514.npy,STA-TR540141/l3_mean_europe_2018_2020_005dg.netcdf,TR,31,206.8,0,0,1,0,0,1,38.23295799,27.58900479,59.30788089
138,STA-RS0031A,STA-RS0031A/S2B_MSIL2A_20200921T094039_N0214_R036_T34TCR_20200921T120812.npy,STA-RS0031A/l3_mean_europe_2018_2020_005dg.netcdf,RS,81,157.4,0,0,1,0,0,1,16.37831231,55.77512715,30.02726305
139,STA_ES1910A,STA_ES1910A/S2B_MSIL2A_20200820T103629_N0214_R008_T31TDF_20200820T133254.npy,STA_ES1910A/l3_mean_europe_2018_2020_005dg.netcdf,ES,25,718.7,0,1,0,0,0,1,14.84634965,57.01894421,17.75988024
145,STA.DE_DEBB007,STA.DE_DEBB007/S2A_MSIL2A_20200816T101031_N0214_R022_T33UUT_20200816T130108.npy,STA.DE_DEBB007/l3_mean_europe_2018_2020_005dg.netcdf,DE,89,54.7,0,1,0,0,0,1,13.83871007,56.93208892,20.32652284
146,STA-FR20077,STA-FR20077/S2A_MSIL2A_20200805T104031_N0214_R008_T31TFL_20200805T112609.npy,STA-FR20077/l3_mean_europe_2018_2020_005dg.netcdf,FR,184,576.2,0,0,1,0,0,1,19.84233136,42.26705594,14.86922811
149,STA_ES1599A,STA_ES1599A/S2B_MSIL2A_20200727T105619_N0214_R094_T30TWN_20200727T144035.npy,STA_ES1599A/l3_mean_europe_2018_2020_005dg.netcdf,ES,225,360.7,1,0,0,0,0,1,3.941872982,74.88737864,12.60632586
151,STA.06.198,STA.06.198/S2B_MSIL2A_20200108T095309_N0213_R079_T33TWN_20200108T111854.npy,STA.06.198/l3_mean_europe_2018_2020_005dg.netcdf,AT,276,80.9,0,1,0,0,0,1,15.31062029,47.02030693,21.14813185
152,STA-FR29439,STA-FR29439/S2A_MSIL2A_20200805T104031_N0214_R008_T31TFL_20200805T112609.npy,STA-FR29439/l3_mean_europe_2018_2020_005dg.netcdf,FR,520,160.6,0,1,0,0,0,1,14.09338058,59.45243107,15.89480953
154,STA-TR220141,STA-TR220141/S2A_MSIL2A_20200818T090601_N0214_R050_T35TMG_20200818T115313.npy,STA-TR220141/l3_mean_europe_2018_2020_005dg.netcdf,TR,41,70,0,0,1,0,0,1,19.22920877,15.85406992,44.40492406
157,STA.DE_DEMV004,STA.DE_DEMV004/S2B_MSIL2A_20200807T102559_N0214_R108_T32UPE_20200807T122941.npy,STA.DE_DEMV004/l3_mean_europe_2018_2020_005dg.netcdf,DE,17,63.6,1,0,0,0,0,1,6.591002029,59.14277534,16.93855819
158,STA.DE_DESL003,STA.DE_DESL003/S2B_MSIL2A_20200422T103619_N0214_R008_T32ULV_20200422T140230.npy,STA.DE_DESL003/l3_mean_europe_2018_2020_005dg.netcdf,DE,185,426.9,0,0,1,0,1,0,17.45673258,50.63960399,17.29140571
160,STA_ES1943A,STA_ES1943A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1943A/l3_mean_europe_2018_2020_005dg.netcdf,ES,605,827.3,0,0,1,1,0,0,52.52931054,51.36999999,23.34223667
161,STA.IT1071A,STA.IT1071A/S2B_MSIL2A_20201119T101319_N0214_R022_T32TPP_20201119T120649.npy,STA.IT1071A/l3_mean_europe_2018_2020_005dg.netcdf,IT,16,172.9,0,1,0,0,0,1,23.20668058,42.0390919,24.1965812
163,STA-FR33212,STA-FR33212/S2A_MSIL2A_20190219T103051_N0211_R108_T31TGM_20190219T133225.npy,STA-FR33212/l3_mean_europe_2018_2020_005dg.netcdf,FR,426,178.9,0,0,1,0,0,1,16.95416717,57.58646616,16.04295326
170,STA-CH0004R,STA-CH0004R/S2B_MSIL2A_20200807T102559_N0214_R108_T31TGN_20200807T132026.npy,STA-CH0004R/l3_mean_europe_2018_2020_005dg.netcdf,CH,1136,248.1,1,0,0,0,0,1,5.794002718,85.2679241,7.480536983
171,STA-TR170221,STA-TR170221/S2A_MSIL2A_20200716T085601_N0214_R007_T35TME_20200716T120405.npy,STA-TR170221/l3_mean_europe_2018_2020_005dg.netcdf,TR,82,55.6,0,0,1,0,1,0,15.44086503,49.97281071,54.19706027
181,STA-LT00023,STA-LT00023/S2B_MSIL2A_20200815T095039_N0214_R079_T34VEH_20200815T120650.npy,STA-LT00023/l3_mean_europe_2018_2020_005dg.netcdf,LT,67,31.6,0,0,1,0,1,0,8.649139931,56.50536864,29.68564325
184,STA.IT1427A,STA.IT1427A/S2A_MSIL2A_20200905T101031_N0214_R022_T32TNK_20200905T130252.npy,STA.IT1427A/l3_mean_europe_2018_2020_005dg.netcdf,IT,511,39.3,0,0,1,0,0,1,16.55624768,47.31128437,18.62026759
185,STA_PL0209A,STA_PL0209A/S2A_MSIL2A_20200816T101031_N0214_R022_T33UWU_20200816T130108.npy,STA_PL0209A/l3_mean_europe_2018_2020_005dg.netcdf,PL,22,63.4,0,0,1,0,0,1,21.98368373,44.42885138,26.736645
188,STA.IT1519A,STA.IT1519A/S2A_MSIL2A_20200620T102031_N0214_R065_T32TMQ_20200620T131229.npy,STA.IT1519A/l3_mean_europe_2018_2020_005dg.netcdf,IT,392,85.4,1,0,0,0,0,1,8.67102504,49.13854545,21.68406593
190,STA_PL0518A,STA_PL0518A/S2B_MSIL2A_20200822T094039_N0214_R036_T34UEA_20200822T115325.npy,STA_PL0518A/l3_mean_europe_2018_2020_005dg.netcdf,PL,223,85.8,0,0,1,0,0,1,11.12894608,50.93919136,29.43227476
193,STA_ES1831A,STA_ES1831A/S2A_MSIL2A_20200825T104031_N0214_R008_T31SCD_20200825T151314.npy,STA_ES1831A/l3_mean_europe_2018_2020_005dg.netcdf,ES,12,257,1,0,0,0,0,1,8.28825055,66.77973004,17.94006777
195,STA_ES1246A,STA_ES1246A/S2A_MSIL2A_20200825T104031_N0214_R008_T31SCD_20200825T151314.npy,STA_ES1246A/l3_mean_europe_2018_2020_005dg.netcdf,ES,25,257,0,0,1,0,1,0,16.73214579,71.33961238,20.57410098
196,STA.IT0706A,STA.IT0706A/S2A_MSIL2A_20190914T102021_N0213_R065_T32TNR_20190914T140933.npy,STA.IT0706A/l3_mean_europe_2018_2020_005dg.netcdf,IT,123,2078.5,0,0,1,0,0,1,33.92225079,46.61347584,32.11994305
197,STA-PT03071,STA-PT03071/S2A_MSIL2A_20200830T113321_N0214_R080_T29SMC_20200830T142737.npy,STA-PT03071/l3_mean_europe_2018_2020_005dg.netcdf,PT,32,1010.7,0,0,1,0,0,1,30.43117695,53.38159369,18.4438388
198,STA-FR16060,STA-FR16060/S2A_MSIL2A_20200713T103031_N0214_R108_T32TLT_20200713T132504.npy,STA-FR16060/l3_mean_europe_2018_2020_005dg.netcdf,FR,247,217.6,0,1,0,0,0,1,19.27660334,49.51590179,17.65770295
199,STA.DE_DEBY089,STA.DE_DEBY089/S2B_MSIL2A_20200913T101629_N0214_R065_T32UPU_20200913T131152.npy,STA.DE_DEBY089/l3_mean_europe_2018_2020_005dg.netcdf,DE,513,4721.9,0,1,0,0,0,1,19.86750471,53.74354877,15.56244782
200,STA_ES1567A,STA_ES1567A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1567A/l3_mean_europe_2018_2020_005dg.netcdf,ES,640,827.3,0,0,1,1,0,0,35.11345555,50.3675253,19.92794033
201,STA.IT2075A,STA.IT2075A/S2A_MSIL2A_20200408T101021_N0214_R022_T32TPQ_20200408T161405.npy,STA.IT2075A/l3_mean_europe_2018_2020_005dg.netcdf,IT,56,275.5,0,1,0,0,0,1,28.98628553,55.11847725,27.1627907
206,STA.06.151,STA.06.151/S2B_MSIL2A_20200914T095029_N0214_R079_T33TWM_20200914T121343.npy,STA.06.151/l3_mean_europe_2018_2020_005dg.netcdf,AT,449,86.8,1,0,0,0,0,1,10.89065637,60.15479196,18.4689735
225,STA.03.2604,STA.03.2604/S2A_MSIL2A_20200408T101021_N0214_R022_T33UVP_20200408T161405.npy,STA.03.2604/l3_mean_europe_2018_2020_005dg.netcdf,AT,330,74.6,1,0,0,0,0,1,12.22432682,58.84341298,16.34057805
227,STA.06.170,STA.06.170/S2B_MSIL2A_20200108T095309_N0213_R079_T33TWN_20200108T111854.npy,STA.06.170/l3_mean_europe_2018_2020_005dg.netcdf,AT,345,367.6,0,0,1,0,0,1,27.82501221,39.09005951,26.09450554
232,STA.IT1902A,STA.IT1902A/S2A_MSIL2A_20200823T100031_N0214_R122_T32TQN_20200823T125303.npy,STA.IT1902A/l3_mean_europe_2018_2020_005dg.netcdf,IT,209,106,1,0,0,0,0,1,11.28276968,69.42221282,15.73619632
234,STA.CZ_TKAR,STA.CZ_TKAR/S2A_MSIL2A_20200919T095031_N0214_R079_T33UYR_20200919T115531.npy,STA.CZ_TKAR/l3_mean_europe_2018_2020_005dg.netcdf,CZ,238,226.7,0,0,1,0,0,1,20.31938751,53.99451523,39.07963885
235,STA-BETN121,STA-BETN121/S2A_MSIL2A_20200917T105031_N0214_R051_T31UFR_20200917T134757.npy,STA-BETN121/l3_mean_europe_2018_2020_005dg.netcdf,BE,430,46.6,1,0,0,0,0,1,6.814552064,61.6527977,13.8659683
236,STA-FR33120,STA-FR33120/S2B_MSIL2A_20200827T102559_N0214_R108_T31TGM_20200827T135039.npy,STA-FR33120/l3_mean_europe_2018_2020_005dg.netcdf,FR,1038,178.9,0,0,1,0,0,1,22.20770465,49.66653642,15.39444702
238,STA_ES1922A,STA_ES1922A/S2B_MSIL2A_20200720T110619_N0214_R137_T30TUM_20200720T131521.npy,STA_ES1922A/l3_mean_europe_2018_2020_005dg.netcdf,ES,953,20.1,0,0,1,1,0,0,6.02427692,58.6355453,16.19018262
240,STA.IT2205A,STA.IT2205A/S2A_MSIL2A_20200830T095031_N0214_R079_T33TWE_20200830T115423.npy,STA.IT2205A/l3_mean_europe_2018_2020_005dg.netcdf,IT,690,55.9,1,0,0,0,1,0,3.105409929,79.34883479,16.69051282
243,STA.IT1773A,STA.IT1773A/S2B_MSIL2A_20200729T100029_N0214_R122_T33TUJ_20200729T134154.npy,STA.IT1773A/l3_mean_europe_2018_2020_005dg.netcdf,IT,550,240.8,1,0,0,0,0,1,5.720253647,77.31921479,20.01702376
245,STA.DE_DESN004,STA.DE_DESN004/S2A_MSIL2A_20200915T101031_N0214_R022_T33UVS_20200915T130644.npy,STA.DE_DESN004/l3_mean_europe_2018_2020_005dg.netcdf,DE,203,131,0,0,1,0,0,1,16.04067536,60.05902839,19.89146888
249,STA.04.S416,STA.04.S416/S2A_MSIL2A_20200408T101021_N0214_R022_T33UVP_20200408T161405.npy,STA.04.S416/l3_mean_europe_2018_2020_005dg.netcdf,AT,265,346.7,0,0,1,0,0,1,29.0068135,44.19906917,21.93956044
250,STA.IT2113A,STA.IT2113A/S2A_MSIL2A_20200823T100031_N0214_R122_T32TQN_20200823T125303.npy,STA.IT2113A/l3_mean_europe_2018_2020_005dg.netcdf,IT,143,107.3,0,1,0,0,0,1,6.674702739,51.23442016,17.29213483
251,STA_ES1662A,STA_ES1662A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TWM_20200910T135152.npy,STA_ES1662A/l3_mean_europe_2018_2020_005dg.netcdf,ES,460,62.5,1,0,0,0,1,0,5.330524128,67.61937197,14.43459185
