AirQualityStation,Countrycode,Altitude,AreaType,StationType,PopulationDensity,no2_average
STA.09.MBA,AT,194,urban,traffic,4780.6,42.47191841
STA.10.SON1,AT,3106,rural-remote,background,38.5,0.539770734
STA.CZ_ASMI,CZ,216,urban,traffic,2683.7,39.03885976
STA.07.2619,AT,1583,rural,background,31.7,7.08018506
STA.07.2550,AT,507,rural-regional,traffic,65.4,36.98612076
STA.05.2000,AT,440,urban,traffic,216.9,36.90233135
STA.05.1200,AT,420,urban,background,216.9,20.97145059
STA.05.1066,AT,430,urban,traffic,216.9,24.48565429
STA.05.1000,AT,425,urban,traffic,216.9,40.16258824
STA.04.S431,AT,262,urban,traffic,346.7,43.40908186
STA.04.S418,AT,510,rural,industrial,99.3,14.45929044
STA.04.S416,AT,265,urban,background,346.7,29.0068135
STA.04.S415,AT,255,suburban,traffic,346.7,27.22912338
STA.04.S409,AT,305,suburban,background,70.2,14.52323846
STA.04.S407,AT,420,suburban,background,99.3,14.65587542
STA.04.S406,AT,316,suburban,background,346.7,23.14637641
STA.04.S404,AT,274,suburban,background,346.7,20.7270426
STA.04.S217,AT,255,rural-nearcity,traffic,346.7,38.35789886
STA.04.S184,AT,260,urban,background,346.7,25.79611871
STA.05.2100,AT,650,rural-nearcity,background,216.9,10.93005857
STA.05.2300,AT,445,rural-regional,traffic,216.9,45.24667065
STA.05.3055,AT,730,rural,background,216.9,7.759908686
STA.05.4057,AT,620,suburban,background,38.5,20.72458353
STA.07.2538,AT,602,rural,background,65.4,17.38832458
STA.07.2530,AT,508,suburban,background,65.4,24.37234718
STA.07.2315,AT,719,suburban,traffic,31.7,32.39914425
STA.07.2227,AT,558,suburban,background,149.5,33.08008159
STA.07.2223,AT,688,suburban,traffic,149.5,40.79744563
STA.07.2113,AT,678,suburban,background,149.5,17.85415956
STA.07.2110,AT,577,urban,background,149.5,34.41198354
STA.07.2106,AT,570,urban,traffic,149.5,29.98123507
STA.07.2552,AT,489,urban,background,65.4,21.72248232
STA.06.198,AT,276,suburban,background,80.9,15.31062029
STA.06.180,AT,485,suburban,background,50,16.25597295
STA.06.177,AT,649,suburban,background,24.3,14.77270395
STA.06.145,AT,517,suburban,background,50,18.76515001
STA.06.119,AT,635,urban,background,32.9,16.08323752
STA.05.6072,AT,775,suburban,background,38.5,17.15359303
STA.05.5032,AT,1025,suburban,background,20.1,14.66073759
STA.05.5018,AT,1205,rural,traffic,20.1,22.73903349
STA.06.194,AT,679,suburban,background,50,15.02271298
STA.DE_DEHB011,DE,5,urban,traffic,1399.1,34.07745852
STA.DE_DEHB012,DE,8,urban,background,1834.4,20.63386889
STA.DE_DEHB013,DE,4,rural-regional,industrial,1834.4,16.10814193
STA.IT0865A,IT,83,urban,background,259.1,20.61474585
STA.IT0828A,IT,49,urban,traffic,823.7,56.53539661
STA.IT0825A,IT,43,urban,traffic,823.7,50.68833973
STA.IT0775A,IT,228,suburban,background,459.1,21.05650232
STA.IT0771A,IT,201,urban,traffic,514.8,43.51762546
STA.IT0732A,IT,382,urban,background,820.9,22.8701638
STA.IT0614A,IT,35,urban,background,190.7,12.44270585
STA.IT0611A,IT,300,urban,background,190.7,6.158772817
STA.IT0508A,IT,830,urban,background,71.8,20.44767307
STA.IT0507A,IT,564,urban,background,71.8,28.08993666
STA.IT0505A,IT,1770,rural-nearcity,background,71.8,3.070249382
STA.IT0502A,IT,247,urban,traffic,71.8,39.82683661
STA.IT0869A,IT,21,urban,background,259.1,20.10731707
STA.IE.IE0111A,IE,20,rural-regional,background,46.3,3.385608865
STA.IT0870A,IT,401,urban,background,151.1,25.02649657
STA.IT0872A,IT,130,urban,traffic,151.1,29.43115855
STA.IT0991A,IT,445,urban,background,151.1,37.63804672
STA.IT0988A,IT,371,rural,background,38.8,13.33305648
STA.IT0983A,IT,581,urban,background,38.8,25.49158054
STA.IT0980A,IT,576,suburban,background,38.8,20.3151501
STA.IT0977A,IT,1640,rural-remote,background,38.8,5.193317972
STA.IT0957A,IT,48,suburban,background,823.7,24.63640818
STA.IT0956A,IT,53,urban,background,823.7,39.06110749
STA.IT0953A,IT,50,urban,background,823.7,28.38837615
STA.IT0952A,IT,61,rural,background,823.7,11.24764722
STA.IT0936A,IT,357,suburban,background,150.1,21.02926192
STA.IT0934A,IT,159,urban,traffic,133.9,27.55058528
STA.IT0908A,IT,1225,urban,background,57.4,13.76216984
STA.IT0906A,IT,307,urban,traffic,57.4,23.64251474
STA.IT0898A,IT,46,urban,traffic,2634.5,44.47241045
STA.IT0889A,IT,223,suburban,background,823.7,25.35904523
STA.IT0888A,IT,219,suburban,industrial,823.7,32.08495116
STA.IT0887A,IT,89,suburban,traffic,823.7,28.53330133
STA.IE.IE0090A,IE,170,rural-regional,background,35.9,2.901207243
STA.IE.IE002CM,IE,1,suburban,background,104.2,13.47918492
STA.IE.IE001CM,IE,20,suburban,background,46.3,11.02546734
STA.DE_DETH020,DE,195,urban,background,799,19.34656995
STA.DE_DETH018,DE,185,urban,background,118.8,18.21419117
STA.DE_DETH013,DE,210,urban,background,409,15.27315203
STA.DE_DETH011,DE,185,urban,background,159.4,17.22170483
STA.DE_DETH009,DE,190,urban,background,621.7,17.98098051
STA.DE_DETH005,DE,210,urban,background,103.9,15.66525982
STA.DE_DEST112,DE,56,urban,traffic,1242.6,25.0937141
STA.DE_DEST108,DE,116,urban,traffic,128.3,19.03650158
STA.DE_DEST105,DE,35,urban,background,47.1,13.00129502
STA.DE_DEST104,DE,72,rural,background,113.2,10.84820897
STA.DE_DEST103,DE,53,urban,traffic,1242.6,30.5924913
STA.DE_DEST102,DE,118,urban,traffic,1785.2,39.80934608
STA.DE_DEST098,DE,419,rural-regional,background,102.7,7.553704905
STA.DE_DEST095,DE,118,urban,traffic,136.2,29.21466599
STA.DE_DEST092,DE,73,urban,traffic,66.4,26.36566823
STA.DE_DEST091,DE,61,urban,traffic,340.3,17.98914634
STA.DE_DETH026,DE,450,rural-regional,background,101.4,10.56201021
STA.DE_DETH027,DE,840,rural-remote,background,130.3,10.44654365
STA.DE_DETH036,DE,265,urban,background,117.2,17.85669843
STA.DE_DETH040,DE,907,rural-remote,background,129,4.039649438
STA.DE_DEUB046,DE,858,rural-remote,background,79.6,3.315763421
STA.DE_DEUB030,DE,65,rural-regional,background,118.8,4.490552258
STA.DE_DEUB029,DE,937,rural,background,129,4.044233281
STA.DE_DEUB005,DE,74,rural,background,63.3,6.518819039
STA.DE_DEUB004,DE,1205,rural-regional,background,192.2,2.190144485
STA.DE_DETH117,DE,196,suburban,background,799,16.5079476
STA.IT0992A,IT,388,rural,background,151.1,5.655482616
STA.DE_DETH095,DE,215,urban,background,105.5,17.58901493
STA.DE_DETH091,DE,220,urban,traffic,105.5,27.3234083
STA.DE_DETH083,DE,220,urban,traffic,770.9,24.09560459
STA.DE_DETH072,DE,430,urban,traffic,339.8,24.47103212
STA.DE_DETH061,DE,357,rural-remote,background,101.9,8.385460067
STA.DE_DETH043,DE,195,urban,traffic,799,33.6795636
STA.DE_DETH042,DE,420,rural-remote,background,72.7,7.906158641
STA.DE_DETH041,DE,140,urban,background,967.4,17.13446147
STA.DE_DETH093,DE,224,urban,background,770.9,18.71708552
STA.IT1011A,IT,128,urban,traffic,107.3,14.17183183
STA.IT1076A,IT,141,suburban,background,252.1,18.91887954
STA.IT1618A,IT,10,urban,traffic,212.4,20.80549435
STA.IT1617A,IT,20,suburban,background,212.4,8.042415346
STA.IT1609A,IT,10,suburban,industrial,236.6,10.36626583
STA.IT1608A,IT,10,suburban,industrial,236.6,9.023253787
STA.IT1607A,IT,10,suburban,traffic,236.6,11.06310191
STA.IT1588A,IT,388,urban,traffic,820.9,35.72145955
STA.IT1552A,IT,55,urban,traffic,252.1,51.67929119
STA.IT1548A,IT,275,rural-nearcity,background,250.3,5.40769909
STA.IT1547A,IT,176,suburban,industrial,250.3,10.36647072
STA.IT1648A,IT,320,suburban,background,514.8,25.30376081
STA.IT1657A,IT,20,suburban,industrial,212.4,8.916385405
STA.IT1766A,IT,325,rural-nearcity,industrial,105.9,5.564573498
STA.IT1745A,IT,282,suburban,industrial,106,10.90407487
STA.IT1728A,IT,138,urban,traffic,107.3,14.80631616
STA.IT1718A,IT,38,urban,traffic,311.1,50.4868495
STA.IT1704A,IT,10,suburban,industrial,212.4,10.39357488
STA.IT1702A,IT,10,suburban,background,212.4,10.95856205
STA.IT1701A,IT,10,suburban,traffic,212.4,17.77513131
STA.IT1680A,IT,400,urban,traffic,236.6,28.3185739
STA.IT1666A,IT,10,suburban,background,286.3,11.03416712
STA.IT1665A,IT,10,rural,background,286.3,6.817470604
STA.IT1664A,IT,10,suburban,background,286.3,6.538430918
STA.IT1663A,IT,10,suburban,background,212.4,10.50675443
STA.IT1662A,IT,54,suburban,background,250.3,9.92580637
STA.IT1661A,IT,28,suburban,traffic,250.3,20.92044879
STA.IT1658A,IT,10,suburban,industrial,212.4,13.98905777
STA.IT1679A,IT,200,suburban,background,236.6,9.371002524
STA.DE_DEST090,DE,96,suburban,industrial,132,14.42697971
STA.IT1544A,IT,3,urban,industrial,250.3,24.88784644
STA.IT1535A,IT,25,urban,background,318,22.54776269
STA.IT1335A,IT,297,urban,traffic,71.8,31.26383738
STA.IT1334A,IT,260,urban,traffic,71.8,38.05549058
STA.IT1264A,IT,9,urban,traffic,259.7,16.8402968
STA.IT1247A,IT,405,urban,background,194.6,19.55454013
STA.IT1246A,IT,271,urban,background,194.6,16.39730353
STA.IT1243A,IT,192,suburban,traffic,77.5,30.05430127
STA.IT1208A,IT,8,urban,traffic,259.7,11.74223744
STA.IT1200A,IT,161,urban,traffic,151.1,40.76501085
STA.IT1190A,IT,262,urban,background,57.4,17.61348227
STA.IT1184A,IT,18,suburban,background,259.1,27.24107702
STA.IT1183A,IT,41,urban,traffic,151.1,35.75137857
STA.IT1182A,IT,197,urban,traffic,106,19.80984442
STA.IT1176A,IT,37,urban,background,823.7,36.47961165
STA.IT1172A,IT,61,suburban,industrial,317.2,30.30163176
STA.IT1114A,IT,499,suburban,background,333.8,16.45392845
STA.IT1079A,IT,17,urban,traffic,252.1,42.76005595
STA.IT1340A,IT,30,urban,traffic,318,29.69503002
STA.IT1346A,IT,62,urban,traffic,190.7,17.55032325
STA.IT1348A,IT,9,urban,traffic,190.7,19.99166572
STA.IT1532A,IT,344,urban,background,82.9,15.58018328
STA.IT1510A,IT,203,urban,background,73.3,27.59307876
STA.IT1497A,IT,145,urban,background,2634.5,21.97327098
STA.IT1496A,IT,173,urban,traffic,2634.5,38.02812981
STA.IT1495A,IT,143,urban,traffic,2634.5,45.5321125
STA.IT1493A,IT,33,suburban,traffic,2634.5,45.37888056
STA.IT1491A,IT,13,urban,traffic,2634.5,56.69424172
STA.IT1536A,IT,6,urban,background,250.3,23.72430647
STA.IT1488A,IT,71,suburban,traffic,350.1,23.01573114
STA.IT1486A,IT,68,urban,background,350.1,20.34207967
